,questao,enunciado,a,b,c,d,e,correta,explicacao,tema
33,34,Você tem um ambiente Azure. Você precisa criar uma nova máquina virtual do Azure a partir de um tablet que executa o sistema operacional Android. Solução: Você usa o Bash no Azure Cloud Shell. Isso atende ao objetivo?,Sim,Não,,,,A,"Com o Azure Cloud Shell, você pode criar máquinas virtuais usando Bash ou PowerShell. O Azure Cloud Shell é um shell interativo, autenticado e acessível ao navegador para gerenciar recursos do Azure. Ele fornece a flexibilidade de escolher a experiência shell que melhor se adapta à maneira como você trabalha, seja Bash ou PowerShell.",Serviços do Azure
34,35,Sua empresa planeja transferir vários servidores para o Azure. A política de conformidade da empresa afirma que um servidor chamado FinServer deve estar em um segmento de rede separado. Você está avaliando quais serviços do Azure podem ser usados para atender aos requisitos da política de conformidade. Qual solução Azure você deve recomendar?,um grupo de recursos para o FinServer e outro grupo de recursos para todos os outros servidores.,uma rede virtual para o FinServer e outra rede virtual para todos os outros servidores.,uma VPN para FinServer e um gateway de rede virtual para um outro servidor.,um grupo de recursos para todos os servidores e um bloqueio de recursos para o FinServer.,,B,um grupo de recursos para todos os servidores e um bloqueio de recursos para o FinServer.,Serviços do Azure
35,36,Você planeja mapear uma unidade de rede de vários computadores que executam o Windows 10 para o Azure Storage. Você precisa criar uma solução de armazenamento no Azure para a unidade planejada mapeada. O que você deve criar?,um banco de dados Azure SQL,um disco de dados de máquina virtua,um serviço de arquivos em uma conta de armazenamento,um serviço Blobs em uma conta de armazenamento,,C,"O Azure Files é o sistema de arquivos em nuvem fácil de usar da Microsoft. Os compartilhamentos de arquivos do Azure podem ser perfeitamente usados no Windows e no Windows Server. Para usar um compartilhamento de arquivo do Azure com o Windows, você deve montá-lo, o que significa atribuir-lhe uma letra de unidade ou caminho de ponto de montagem, ou acessá-lo através de seu caminho UNC. Ao contrário de outras ações SMB com as quais você pode ter interagido, como as hospedadas em um Servidor Windows, servidor Linux Samba ou dispositivo NAS, os compartilhamentos de arquivos do Azure não suportam atualmente a autenticação de Kerberos com sua identidade Active Directory (AD) ou Azure Active Directory (AAD), embora este seja um recurso em que estamos trabalhando. Em vez disso, você deve acessar o compartilhamento de arquivos do Azure com a chave da conta de armazenamento para a conta de armazenamento que contém o compartilhamento de arquivos do Azure. Uma chave de conta de armazenamento é uma chave de administrador para uma conta de armazenamento, incluindo permissões de administrador para todos os arquivos e pastas dentro do compartilhamento de arquivos que você está acessando e para todos os compartilhamentos de arquivos e outros recursos de armazenamento (blobs, filas, tabelas, etc) contidos em sua conta de armazenamento.",Serviços do Azure
36,37,Sua empresa planeja migrar todos os recursos de sua rede para o Azure. Você precisa começar o processo de planejamento explorando o Azure. O que você deve criar primeiro?,Assinatura,Grupo de recursos,Rede virtual,Grupo de gestão,,A,"A primeira coisa que você cria no Azure é uma assinatura. Você pode pensar em uma assinatura do Azure como uma ""conta do Azure"". Você é cobrado por assinatura. Uma assinatura é um acordo com a Microsoft para usar uma ou mais plataformas ou serviços em nuvem da Microsoft, para os quais os encargos se acumulam com base em uma taxa de licença por usuário ou no consumo de recursos baseados em nuvem. As ofertas de nuvem baseadas em Software as a Service (SaaS) da Microsoft (Office 365, Intune/EMS e Dynamics 365) cobram taxas de licença por usuário. As ofertas de nuvem Da Microsoft Platform as a Service (PaaS) e Infrastructure as a Service (IaaS) são baseadas no consumo de recursos na nuvem. Você também pode usar uma assinatura de teste, mas a assinatura expira após uma quantidade específica de tempo ou taxas de consumo. Você pode converter uma assinatura de teste em uma assinatura paga. As organizações podem ter várias assinaturas para as ofertas em nuvem da Microsoft.",Serviços do Azure
37,38,Você tem um aplicativo local que envia notificações de e-mail automaticamente com base em uma regra. Você planeja migrar o aplicativo para o Azure. Você precisa recomendar uma solução de computação sem servidor para o aplicativo. O que você deve incluir na recomendação?,um aplicativo web,uma imagem de servidor no Azure Marketplace,um aplicativo de lógica,um aplicativo API,,C,"O Azure Logic Apps é um serviço em nuvem que ajuda você a agendar, automatizar e orquestrar tarefas, processos de negócios e fluxos de trabalho quando você precisa integrar aplicativos, dados, sistemas e serviços em empresas ou organizações. O Logic Apps simplifica a forma como você projeta e constrói soluções escaláveis para integração de aplicativos, integração de dados, integração de sistemas, integração de aplicativos corporativos (EAI) e comunicação entre empresas (B2B), seja na nuvem, nas instalações ou em ambos. Por exemplo, aqui estão apenas algumas cargas de trabalho que você pode automatizar com aplicativos lógicos:  Pedidos de processamento e rota através de sistemas locais e serviços em nuvem.  Envie notificações por e-mail com o Office 365 quando eventos acontecem em vários sistemas, aplicativos e serviços.  Mova arquivos carregados de um servidor SFTP ou FTP para o Azure Storage.  Monitore tweets para um assunto específico, analise o sentimento e crie alertas ou tarefas para itens que precisam de revisão.",Serviços do Azure
38,39,Você planeja implantar um site para o Azure. O site será acessado por usuários em todo o mundo e hospedará grandes arquivos de vídeo. Você precisa recomendar qual recurso do Azure deve ser usado para fornecer a melhor experiência de reprodução de vídeo. O que você deve recomendar?,um gateway de aplicativo,um circuito Azure ExpressRoute,uma rede de entrega de conteúdo (CDN),um perfil do Azure Traffic Manager,,C,"A questão afirma que os usuários estão localizados em todo o mundo e estarão baixando grandes arquivos de vídeo. A experiência de reprodução de vídeo seria melhorada se eles pudessem baixar o vídeo de servidores da mesma região que os usuários. Podemos conseguir isso usando uma rede de entrega de conteúdo. Uma rede de entrega de conteúdo (CDN) é uma rede distribuída de servidores que podem fornecer conteúdo web eficientemente aos usuários. Os CDNs armazenam conteúdo armazenado em cache em servidores de borda em locais de ponto de presença (POP) que estão próximos dos usuários finais, para minimizar a latência. O Azure Content Delivery Network (CDN) oferece aos desenvolvedores uma solução global para fornecer rapidamente conteúdo de alta largura de banda aos usuários, usando seu conteúdo em nódulos físicos estrategicamente colocados em todo o mundo. O Azure CDN também pode acelerar o conteúdo dinâmico, que não pode ser armazenado em cache, aproveitando várias otimizações de rede usando POPs CDN, por exemplo, otimização de rotas para contornar o Border Gateway Protocol (BGP). Os benefícios de usar o Azure CDN para fornecer ativos do site incluem:  Melhor desempenho e melhor experiência do usuário para usuários finais, especialmente quando se usa aplicativos nos quais várias viagens de ida e volta são necessárias para carregar conteúdo.  Grande escala para lidar melhor com altas cargas instantâneas, como o início de um evento de lançamento de produto.  Distribuição de solicitações de usuários e serviço de conteúdo diretamente de servidores de borda para que menos tráfego seja enviado para o servidor de origem.",Serviços do Azure
39,40,Sua empresa planeja implantar vários milhões de sensores que enviarão dados para o Azure. Você precisa identificar quais recursos do Azure devem ser criados para apoiar a solução planejada. Quais dois recursos do Azure você deve identificar? Cada resposta correta apresenta parte da solução. NOTA: Cada seleção correta vale um ponto.,Azure Data Lake,Azure Queue storage,Azure File Storage,Azure IoT Hub,Azure Notification Hubs,AD,"IoT Hub (Internet das coisas) fornece dados de milhões de sensores. O IoT Hub é um serviço gerenciado, hospedado na nuvem, que atua como um centro de mensagens para comunicação bidirecional entre seu aplicativo IoT e os dispositivos que gerencia. Você pode usar o Azure IoT Hub para construir soluções de IoT com comunicações confiáveis e seguras entre milhões de dispositivos IoT e um backend de soluções hospedados na nuvem. Você pode conectar praticamente qualquer dispositivo ao IoT Hub. Existem dois serviços de armazenamento que o IoT Hub pode encaminhar mensagens para contas -- Azure Blob Storage e Azure Data Lake Storage Gen2 (ADLS Gen2). As contas do Azure Data Lake Storage são contas hierárquicas de armazenamento habilitadas para namespace construídas em cima do armazenamento de blobs. Ambos usam blobs para armazenamento.",Serviços do Azure
40,41,Você tem um aplicativo web do Azure. Você precisa gerenciar as configurações do aplicativo web a partir de um iPhone. Quais são duas ferramentas de gerenciamento do Azure que você pode usar? Cada resposta correta apresenta uma solução completa. NOTA: Cada seleção correta vale um ponto.,Azure CLI,Azure portal,Azure Cloud Shell,Windows PowerShell,Azure Storage Explorer,BC,"O portal Azure é o portal baseado na Web para gerenciar o Azure. Sendo baseado na Web, você pode usar o portal Azure em um iPhone. O Azure Cloud Shell é uma linha de comando baseada na Web para gerenciar o Azure. Você acessa o Azure Cloud Shell do portal Azure. Sendo baseado na Web, você pode usar o Azure Cloud Shell em um iPhone.",Serviços do Azure
41,42,"Você tem um aplicativo composto por um aplicativo web do Azure que tem um Contrato de Nível de Serviço (SLA) de 99,95% e um banco de dados Azure SQL que tem um SLA de 99,99%. _O SLA composto para a aplicação é o produto de ambos os SLAs, o que equivale a 99,94%_.",nenhuma mudança é necessária,"o menor SLA associado à aplicação, que é de 99,95%","o SLA mais alto associado ao aplicativo, que é de 99,99%","a diferença entre os dois SLAs, que é de 0,05",,A,"Os SLAs compostos envolvem vários serviços que suportam um aplicativo, cada um com diferentes níveis de disponibilidade. Por exemplo, considere um aplicativo web app Service que grava para o Azure SQL Database. No momento desta escrita, esses serviços Azure têm os seguintes SLAs:  Aplicativos web app service = 99,95%  Banco de Dados SQL = 99,99% Qual é o tempo máximo de inatividade que você esperaria para esta aplicação? Se qualquer serviço falhar, toda a aplicação falhará. A probabilidade de cada serviço falhar é independente, portanto, o SLA composto para esta aplicação é de 99,95% × 99,99% = 99,94%. Isso é menor do que os SLAs individuais, o que não é surpreendente porque um aplicativo que depende de vários serviços tem mais pontos de falha potenciais.",Serviços do Azure
42,43,"Sua empresa planeja implantar uma solução de Inteligência Artificial (IA) no Azure. O que a empresa deve usar para construir, testar e implantar soluções de análise preditiva?",Azure Logic Apps,Azure Machine Learning Studio,Azure Batch,Azure Cosmos DB,,B,"O Microsoft Azure Machine Learning Studio (clássico) é uma ferramenta colaborativa, de arrastar e soltar que você pode usar para construir, testar e implantar soluções de análise preditiva em seus dados. O Azure Machine Learning Studio (clássico) publica modelos como serviços web que podem ser facilmente consumidos por aplicativos personalizados ou ferramentas de BI, como o Excel. Machine Learning Studio (clássico) é onde ciência de dados, análise preditiva, recursos em nuvem e seus dados se encontram.",Serviços do Azure
43,44,"Você tem uma assinatura do Azure chamada Subscription1. Você entra no portal do Azure e cria um grupo de recursos chamado RG1. A partir da documentação do Azure, você tem o seguinte comando que cria uma máquina virtual chamada VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys Você precisa criar VM1 na Subscription1 usando o comando. Solução: A partir do portal Azure, inicie o Azure Cloud Shell e selecione PowerShell. Execute o comando em Cloud Shell. Isso atende ao objetivo?",Sim,Não,,,,A,"O comando pode ser executado no Azure Cloud Shell. Embora esta pergunta diga que você selecione PowerShell em vez de Bash, os comandos Az funcionarão no PowerShell.",Serviços do Azure
44,45,"Você tem uma assinatura do Azure chamada Subscription1. Você entra no portal do Azure e cria um grupo de recursos chamado RG1. A partir da documentação do Azure, você tem o seguinte comando que cria uma máquina virtual chamada VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys Você precisa criar VM1 na Subscription 1 usando o comando. Solução: A partir de um computador que executa o Windows 10, instale o Azure CLI. Do PowerShell, faça login no Azure e, em seguida, execute o comando. Isso atende ao objetivo?",Sim,Não,,,,A,O comando pode ser executado a partir do PowerShell ou do prompt de comando se você tiver o Azure CLI instalado no Windows 10.,Serviços do Azure
45,46,"Você tem uma assinatura do Azure chamada Subscription1. Você entra no portal do Azure e cria um grupo de recursos chamado RG1. A partir da documentação do Azure, você tem o seguinte comando que cria uma máquina virtual chamada VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys Você precisa criar VM1 na Subscription1 usando o comando. Solução: A partir de um computador que executa o Windows 10, instale o Azure CLI. A partir de um prompt de comando, faça login no Azure e, em seguida, execute o comando. Isso atende ao objetivo?",Sim,Não,,,,A,O comando pode ser executado a partir do PowerShell ou do prompt de comando se você tiver o Azure CLI instalado,Serviços do Azure
46,47,Um administrador do Azure planeja executar um script PowerShell que cria recursos do Azure. Você precisa recomendar qual configuração do computador usar para executar o script. Solução: Execute o script a partir de um computador que executa o Windows 10 e tenha o módulo Azure PowerShell instalado. Isso atende ao objetivo?,Sim,Não,,,,A,"Um script PowerShell é um arquivo que contém cmdlets e código do PowerShell. Um script PowerShell precisa ser executado no PowerShell. Nesta pergunta, o computador tem o módulo Azure PowerShell instalado, portanto, essa solução atende ao objetivo.",Serviços do Azure
47,48,Qual serviço fornece computação sem servidor no Azure?,Azure Virtual Machines,Azure Functions,Azure storage account,Azure Container Instances,,B,O Azure Functions fornece uma plataforma para código sem servidor. O Azure Functions é um serviço de computação sem servidor que permite executar código acionado por evento sem ter que provisionar ou gerenciar explicitamente a infraestrutura.,Serviços do Azure
48,49,"Você tem uma assinatura do Azure chamada Subscription1. Você entra no portal do Azure e cria um grupo de recursos chamado RG1. A partir da documentação do Azure, você tem o seguinte comando que cria uma máquina virtual chamada VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys Você precisa criar VM1 na Subscription1 usando o comando. Solução: A partir do portal Azure, inicie o Azure Cloud Shell e selecione Bash. Execute o comando em Cloud Shell. Isso atende ao objetivo?",Sim,Não,,,,A,O comando pode ser executado no Azure Cloud Shell. O Azure Cloud Shell é uma Shell interativa gratuita. Ele tem ferramentas comuns do Azure préinstalados e configurados para usar com sua conta.,Serviços do Azure
49,50,Sua empresa possui várias unidades de negócios. Cada unidade de negócio requer 20 recursos diferentes do Azure para operação diária. Todas as unidades de negócios exigem o mesmo tipo de recursos do Azure. Você precisa recomendar uma solução para automatizar a criação dos recursos do Azure. O que você deve incluir nas recomendações?,Modelos de gerenciador de recursos do Azure,conjuntos de escala de máquina virtual,o serviço de Gerenciamento de API da Azure,grupos de gestão,,A,"Você pode usar modelos do Azure Resource Manager para automatizar a criação dos recursos do Azure. A implantação de recursos através de modelos é conhecida como 'Infraestrutura como código’. Para implementar a infraestrutura como código para suas soluções Azure, use modelos de Gerenciador de Recursos do Azure. O modelo é um arquivo JSON (JavaScript Object Notation, notação de objetos javascript) que define a infraestrutura e a configuração do seu projeto. O modelo usa sintaxe declarativa, que permite que você diga o que pretende implantar sem ter que escrever a sequência de comandos de programação para criá-lo. No modelo, você especifica os recursos para implantar e as propriedades para esses recursos.",Serviços do Azure
50,51,Qual serviço do Azure você deve usar para coletar eventos de vários recursos em um repositório centralizado?,Hubs de eventos do Azure,Serviços de Análise Azure,Azure Monitor,Análise do fluxo do Azure,,A,"O Azure Event Hubs é uma plataforma de streaming de big data e serviço de ingestão de eventos. Ele pode receber e processar milhões de eventos por segundo. Os dados enviados a um hub de eventos podem ser transformados e armazenados usando qualquer provedor de análise em tempo real ou adaptadores de loteamento/armazenamento. Os Hubs de Eventos Azure podem ser usados para ingerir, armazenar e processar seu fluxo em tempo real para obter insights acionáveis. Event Hubs usa um modelo de consumidor particionado, permitindo que vários aplicativos processem o fluxo simultaneamente e permitindo que você controle a velocidade de processamento. Os Hubs de Eventos do Azure podem ser usados para capturar seus dados em tempo quase real em um armazenamento Azure Blob ou no Azure Data Lake Storage para retenção de longo prazo ou processamento em lote.",Serviços do Azure
51,52,Você tem um ambiente Azure. Você precisa criar uma nova máquina virtual do Azure a partir de um tablet que executa o sistema operacional Android. Solução: Você usa PowerShell no Azure Cloud Shell. Isso atende ao objetivo?,Sim,Não,,,,A,"O Azure Cloud Shell é uma experiência de shell baseada em navegador para gerenciar e desenvolver recursos do Azure. O Cloud Shell oferece uma experiência de shell pré-configurada e acessível pelo navegador para gerenciar recursos do Azure sem a sobrecarga de instalar, versionar e manter uma máquina você mesmo. Sendo baseado em navegador, o Azure Cloud Shell pode ser executado em um navegador a partir de um tablet que executa o sistema operacional Android.",Serviços do Azure
52,53,Você tem um ambiente Azure. Você precisa criar uma nova máquina virtual do Azure a partir de um tablet que executa o sistema operacional Android. Solução: Você usa o portal PowerApps. Isso atende ao objetivo?,Sim,Não,,,,B,"O PowerApps permite que você construa rapidamente aplicativos de negócios com pouco ou nenhum código. Não é usado para criar máquinas virtuais do Azure, portanto, essa solução não atende ao objetivo. Os Portais do PowerApps permitem que as organizações criem sites que possam ser compartilhados com usuários externos à sua organização anonimamente ou através do provedor de login de sua escolha como LinkedIn, Microsoft Account, outros provedores de login comercial.",Serviços do Azure
53,54,Você tem um ambiente Azure. Você precisa criar uma nova máquina virtual do Azure a partir de um tablet que executa o sistema operacional Android. Solução: Você usa o portal Azure. Isso atende ao objetivo?,Sim,Não,,,,A,"O portal Azure é um console unificado e baseado na Web que fornece uma alternativa às ferramentas de linha de comando. Com o portal Azure, você pode gerenciar sua assinatura do Azure usando uma interface gráfica de usuário. Você pode construir, gerenciar e monitorar tudo, desde aplicativos web simples até implantações complexas em nuvem. Crie painéis personalizados para uma visão organizada dos recursos. Configure opções de acessibilidade para uma experiência ideal. Sendo baseado na Web, o portal Azure pode ser executado em um navegador a partir de um tablet que executa o sistema operacional Android.",Serviços do Azure
54,55,_Azure Databricks_ é um serviço de análise baseado em Apache Spark,Nenhuma mudança é necessária.,Fábrica de Dados Azure,Azure DevOps,Azure HDInsight,,A,"Azure Databricks é uma plataforma de análise baseada em Apache Spark. A plataforma consiste em vários componentes, incluindo 'MLib'. Mlib é uma biblioteca de Machine Learning composta por algoritmos e utilitários de aprendizagem comuns, incluindo classificação, regressão, agrupamento, filtragem colaborativa, redução de dimensionalidade, bem como primitivos de otimização subjacentes.",Serviços do Azure
55,56,Qual serviço do Azure fornece um conjunto de ferramentas de controle de versão para gerenciar o código?,Azure Repos,Azure DevTest Labs,Azure Storage,Azure Cosmos DB,,A,Azure Repos é um conjunto de ferramentas de controle de versão que você pode usar para gerenciar seu código.,Serviços do Azure
56,57,"O Azure Site Recovery fornece tolerância a falhas para máquinas virtuais. Instruções: Reveja o texto sublinhado. Se ele corrigir a declaração, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária.,recuperação de desastres,elasticidade,alta disponibilidade,,A,O Azure Site Recovery ajuda a garantir a continuidade dos negócios mantendo aplicativos de negócios e cargas de trabalho funcionando durante paralisações. A Recuperação do Site replica cargas de trabalho em execução em máquinas físicas e virtuais (VMs) de um site principal para um local secundário,Serviços do Azure
57,58,"Uma Zona de Disponibilidade no Azure tem locais fisicamente separados em dois continentes. Instruções: Reveja o texto sublinhado. Se ele corrigir a declaração, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária.,dentro de uma única região do Azure,dentro de múltiplas regiões do Azure,dentro de um único datacenter Azure,,B,Zonas de disponibilidade é uma oferta de alta disponibilidade que protege seus aplicativos e dados contra falhas no datacenter. Zonas de disponibilidade são locais físicos únicos dentro de uma região do Azure.,Serviços do Azure
58,59,Sua empresa planeja migrar todos os dados locais para o Azure. Você precisa identificar se o Azure está em conformidade com os requisitos regionais da empresa. O que você deve usar?,o Knowledge Center,Azure Marketplace,o MyApps portal,o Trust Center,,D,"O Azure possui mais de 90 certificações de conformidade, incluindo mais de 50 específicas para regiões e países globais, como os EUA, a União Europeia, a Alemanha, o Japão, o Reino Unido, a Índia e a China. Você pode ver uma lista de certificações de conformidade no Trust Center para determinar se o Azure atende aos seus requisitos","Segurança, privacidade e conformidade"
59,60,O Azure Key Vault é usado para armazenar segredos para contas de usuário do _Azure Active Directory (Azure AD)_.,Nenhuma mudança é necessária,Contas administrativas do Azure Active Directory (Azure AD),Informações pessoalmente identificáveis (PII),aplicativos de servidor,,D,"Centralizar o armazenamento de segredos de aplicativos no Azure Key Vault permite que você controle sua distribuição. Key Vault reduz consideravelmente as chances de que segredos possam ser acidentalmente vazados. Ao usar o Key Vault, os desenvolvedores de aplicativos não precisam mais armazenar informações de segurança em seu aplicativo. Não ter que armazenar informações de segurança em aplicativos elimina a necessidade de fazer dessas informações parte do código. Por exemplo, um aplicativo pode precisar se conectar a um banco de dados. Em vez de armazenar a sequência de conexão no código do aplicativo, você pode armazená-la com segurança no Key Vault","Segurança, privacidade e conformidade"
60,61,Sua empresa planeja automatizar a implantação de servidores para o Azure. Seu gerente está preocupado que você possa expor credenciais administrativas durante a implantação. Você precisa recomendar uma solução Azure que criptografe as credenciais administrativas durante a implantação. O que você deve incluir na recomendação?,Cofre de Chaves Azure,Proteção de informações do Azure,Centro de Segurança do Azure,Autenticação multifatorial do Azure (MFA),,A,"O Azure Key Vault é um armazenamento seguro para armazenamento de vários tipos de informações confidenciais. Nesta questão, armazenaríamos as credenciais administrativas no Cofre de Chaves. Com esta solução, não há necessidade de armazenar as credenciais administrativas como texto simples nos scripts de implantação. Todas as informações armazenadas no Cofre de Chaves são criptografadas. O Azure Key Vault pode ser usado para armazenar e controlar firmemente o acesso a tokens, senhas, certificados, chaves de API e outros segredos. Segredos e chaves são protegidos pelo Azure, usando algoritmos padrão do setor, comprimentoschave e módulos de segurança de hardware (HSMs). Os HSMs utilizados são normas federais de processamento de informações (FIPS) 140-2 Nível 2 validadas.","Segurança, privacidade e conformidade"
61,62,Você planeja implantar várias máquinas virtuais do Azure. Você precisa controlar as portas que os dispositivos na Internet podem usar para acessar as máquinas virtuais. O que você deve usar?,um grupo de Segurança de Rede (NSG),a função do Azure Active Directory (Azure AD),um grupo do Azure Active Directory,um cofre chave Azure,,A,Um grupo de segurança de rede funciona como um firewall. Você pode anexar um grupo de segurança de rede a uma rede virtual e/ou sub-redes individuais dentro da rede virtual. Você também pode anexar um grupo de segurança de rede a uma interface de rede atribuída a uma máquina virtual. Você pode usar vários grupos de segurança de rede dentro de uma rede virtual para restringir o tráfego entre recursos como máquinas virtuais e sub-redes. Você pode filtrar o tráfego de rede de e para os recursos do Azure em uma rede virtual do Azure com um grupo de segurança de rede. Um grupo de segurança de rede contém regras de segurança que permitem ou negam tráfego de rede de entrada ou tráfego de rede de saída de vários tipos de recursos do Azure.,"Segurança, privacidade e conformidade"
62,63,Azure Alemanha só pode ser usada por residentes legais da Alemanha,nenhuma mudança é necessária,apenas empresas que estão registradas na Alemanha,apenas empresas que compram suas licenças azure de um parceiro com sede na Alemanha,qualquer usuário ou empresa que exija que seus dados residam na Alemanha,,D,"O Azure Germany está disponível para clientes e parceiros elegíveis em todo o mundo que pretendem fazer negócios na UE/EFTA, incluindo o Reino Unido. O Azure Germany oferece uma instância separada dos serviços Microsoft Azure de dentro dos datacenters alemães. Os datacenters estão em dois locais: Frankfurt/Main e Magdeburg. Essa colocação garante que os dados dos clientes permaneçam na Alemanha e que os datacenters se conectem entre si por meio de uma rede privada. Todos os dados do cliente são armazenados exclusivamente nesses datacenters. Uma empresa alemã designada - o administrador de dados alemão - controla o acesso aos dados dos clientes e aos sistemas e infraestrutura que detêm dados","Segurança, privacidade e conformidade"
63,64,"Depois de criar uma máquina virtual, você precisa modificar o grupo de segurança de rede (NSG) para permitir conexões à porta TCP 8080 na máquina virtual. Instruções: Reveja o texto sublinhado. Se ele fizer a declaração correta, selecione ""Nenhuma alteração é necessária"". Se a instrução estiver incorreta, selecione a escolha de resposta que faz a declaração correta.",Nenhuma mudança é necessária,gateway de rede virtual,rede virtual,tabela de rota,,A,"Quando você cria uma máquina virtual, a configuração padrão é criar um Grupo de Segurança de Rede conectado à interface de rede atribuída a uma máquina virtual. Um grupo de segurança de rede funciona como um firewall. Você pode anexar um grupo de segurança de rede a uma rede virtual e/ou sub-redes individuais dentro da rede virtual. Você também pode anexar um grupo de segurança de rede a uma interface de rede atribuída a uma máquina virtual. Você pode usar vários grupos de segurança de rede dentro de uma rede virtual para restringir o tráfego entre recursos como máquinas virtuais e sub-redes. Você pode filtrar o tráfego de rede de e para os recursos do Azure em uma rede virtual do Azure com um grupo de segurança de rede. Um grupo de segurança de rede contém regras de segurança que permitem ou negam tráfego de rede de entrada ou tráfego de rede de saída de vários tipos de recursos do Azure. Nesta questão, precisamos adicionar uma regra ao grupo de segurança de rede para permitir a conexão com a máquina virtual na porta 8080.","Segurança, privacidade e conformidade"
64,65,Seu ambiente Azure contém várias máquinas virtuais do Azure. Você precisa garantir que uma máquina virtual chamada VM1 esteja acessível a partir da Internet via HTTP. Solução: Você modifica um grupo de segurança de rede (NSG). Isso atende ao objetivo?,Sim,Não,,,,A,"Um grupo de segurança de rede funciona como um firewall. Você pode anexar um grupo de segurança de rede a uma rede virtual e/ou sub-redes individuais dentro da rede virtual. Você também pode anexar um grupo de segurança de rede a uma interface de rede atribuída a uma máquina virtual. Você pode usar vários grupos de segurança de rede dentro de uma rede virtual para restringir o tráfego entre recursos como máquinas virtuais e sub-redes. Você pode filtrar o tráfego de rede de e para os recursos do Azure em uma rede virtual do Azure com um grupo de segurança de rede. Um grupo de segurança de rede contém regras de segurança que permitem ou negam tráfego de rede de entrada ou tráfego de rede de saída de vários tipos de recursos do Azure. Nesta questão, precisamos adicionar uma regra ao grupo de segurança de rede para permitir a conexão com a máquina virtual na porta 80 (HTTP).","Segurança, privacidade e conformidade"
65,66,Seu ambiente Azure contém várias máquinas virtuais do Azure. Você precisa garantir que uma máquina virtual chamada VM1 esteja acessível a partir da Internet via HTTP. Solução: Você modifica um plano de proteção DDoS. Isso atende ao objetivo?,Sim,Não,,,,B,"DDoS é uma forma de ataque a um recurso de rede. Um plano de proteção DDoS é usado para proteger contra ataques DDoS; ele não fornece conectividade a uma máquina virtual. Para garantir que uma máquina virtual chamada VM1 seja acessível a partir da Internet via HTTP, você precisa modificar um grupo de segurança de rede ou firewall Azure.","Segurança, privacidade e conformidade"
66,67,Seu ambiente Azure contém várias máquinas virtuais do Azure. Você precisa garantir que uma máquina virtual chamada VM1 esteja acessível a partir da Internet via HTTP. Solução: Você modifica um firewall do Azure. Isso atende ao objetivo?,Sim,Não,,,,A,"O Azure Firewall é um serviço gerenciado de segurança de rede baseado em nuvem que protege seus recursos da Rede Virtual do Azure. É um firewall totalmente imponente como um serviço com alta disponibilidade incorporada e escalabilidade irrestrita na nuvem. Nesta pergunta, precisamos adicionar uma regra ao Firewall Azure para permitir a conexão com a máquina virtual na porta 80","Segurança, privacidade e conformidade"
67,68,Seu ambiente Azure contém várias máquinas virtuais do Azure. Você precisa garantir que uma máquina virtual chamada VM1 esteja acessível a partir da Internet via HTTP. Solução: Você modifica um perfil do Azure Traffic Manager. Isso cumpre o objetivo?,Sim,Não,,,,B,"O Azure Traffic Manager é uma solução de balanceamento de carga baseada em DNS. Ele não é usado para garantir que uma máquina virtual chamada VM1 seja acessível a partir da Internet via HTTP. Para garantir que uma máquina virtual chamada VM1 seja acessível a partir da Internet via HTTP, você precisa modificar um grupo de segurança de rede ou firewall Azure. Nesta pergunta, precisamos adicionar uma regra a um grupo de segurança de rede ou ao Firewall Azure para permitir a conexão com a máquina virtual na porta 80 (HTTP).","Segurança, privacidade e conformidade"
68,69,Quais são os dois tipos de clientes qualificados para usar o Azure Government para desenvolver uma solução em nuvem? Cada resposta correta apresenta uma solução completa.,um empreiteiro do governo canadense,um empreiteiro do governo europeu,uma entidade do governo dos Estados Unidos,um empreiteiro do governo dos Estados Unidos,uma entidade governamental europeia,CD,"O Azure Government é um ambiente de nuvem criado especificamente para atender aos requisitos de conformidade e segurança do governo dos EUA. Esta nuvem de missão crítica oferece inovação revolucionária para clientes do governo dos EUA e seus parceiros. Azure Government aplica-se ao governo em qualquer nível — desde governos estaduais e locais até agências federais, incluindo agências do Departamento de Defesa. A principal diferença entre o Microsoft Azure e o Microsoft Azure Government é que o Azure Government é uma nuvem soberana. É um exemplo fisicamente separado do Azure, dedicado apenas às cargas de trabalho do governo dos EUA. É construído exclusivamente para agências governamentais e seus provedores de soluções.","Segurança, privacidade e conformidade"
